Country,Code,Name,Type,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown
SPAIN,ES -2   ,SANTA MARIA DE GARONA,BWR  ,1381,466,446,NUCLENOR,GE,1966-9 ,1971-3 ,1971-5 ,2017-8 
SPAIN,ES -3   ,VANDELLOS-1,GCR  ,1670,500,480,HIFRENSA,CEA,1968-6 ,1972-5 ,1972-8 ,1990-7 
SWEDEN,SE -1   ,AGESTA,PHWR ,80,12,10,SVAFO,ABB ATOM,1957-12,1964-5 ,1964-5 ,1974-6 
SWEDEN,SE -6   ,BARSEBACK-1,BWR  ,1800,615,600,BKAB,ASEASTAL,1971-2 ,1975-5 ,1975-7 ,1999-11
SWEDEN,SE -8   ,BARSEBACK-2,BWR  ,1800,615,600,BKAB,ABB ATOM,1973-1 ,1977-3 ,1977-7 ,2005-5 
SWEDEN,SE -2   ,OSKARSHAMN-1,BWR  ,1375,492,473,OKG,ABB ATOM,1966-8 ,1971-8 ,1972-2 ,2017-6 
SWEDEN,SE -3   ,OSKARSHAMN-2,BWR  ,1800,661,638,OKG,ABB ATOM,1969-9 ,1974-10,1975-1 ,2016-12
SWEDEN,SE -4   ,RINGHALS-1,BWR  ,2540,910,881,RAB,ABB ATOM,1969-2 ,1974-10,1976-1 ,2020-12
SWEDEN,SE -5   ,RINGHALS-2,PWR  ,2652,963,852,RAB,WH,1970-10,1974-8 ,1975-5 ,2019-12
SWITZERLAND,CH -8   ,LUCENS,HWGCR,28,7,6,EOS,NGA,1962-4 ,1968-1 ,,1969-1 
SWITZERLAND,CH -2   ,MUEHLEBERG,BWR  ,1097,390,373,BKW,GETSCO,1967-3 ,1971-7 ,1972-11,2019-12
UK,GB -3A  ,BERKELEY-1,GCR  ,620,166,138,ML,TNPG,1957-1 ,1962-6 ,1962-6 ,1989-3 
UK,GB -3B  ,BERKELEY-2,GCR  ,620,166,138,ML,TNPG,1957-1 ,1962-6 ,1962-10,1988-10
UK,GB -4A  ,BRADWELL-1,GCR  ,481,146,123,ML,TNPG,1957-1 ,1962-7 ,1962-7 ,2002-3 
UK,GB -4B  ,BRADWELL-2,GCR  ,481,146,123,ML,TNPG,1957-1 ,1962-7 ,1962-11,2002-3 
UK,GB -1A  ,CALDER HALL-1,GCR  ,268,60,49,SL,UKAEA,1953-8 ,1956-8 ,1956-10,2003-3 
UK,GB -1B  ,CALDER HALL-2,GCR  ,268,60,49,SL,UKAEA,1953-8 ,1957-2 ,1957-2 ,2003-3 
UK,GB -1C  ,CALDER HALL-3,GCR  ,268,60,49,SL,UKAEA,1955-8 ,1958-3 ,1958-5 ,2003-3 
UK,GB -1D  ,CALDER HALL-4,GCR  ,268,60,49,SL,UKAEA,1955-8 ,1959-4 ,1959-4 ,2003-3 
UK,GB -2A  ,CHAPELCROSS-1,GCR  ,260,60,48,ML,UKAEA,1955-10,1959-2 ,1959-3 ,2004-6 
UK,GB -2B  ,CHAPELCROSS-2,GCR  ,260,60,48,ML,UKAEA,1955-10,1959-7 ,1959-8 ,2004-6 
UK,GB -2C  ,CHAPELCROSS-3,GCR  ,260,60,48,ML,UKAEA,1955-10,1959-11,1959-12,2004-6 
UK,GB -2D  ,CHAPELCROSS-4,GCR  ,260,60,48,ML,UKAEA,1955-10,1960-1 ,1960-3 ,2004-6 
UK,GB -14  ,DOUNREAY DFR,FBR  ,60,15,11,UKAEA,UKAEA,1955-3 ,1962-10,1962-10,1977-3 
UK,GB -15  ,DOUNREAY PFR,FBR  ,600,250,234,UKAEA,TNPG,1966-1 ,1975-1 ,1976-7 ,1994-3 
UK,GB -9A  ,DUNGENESS A-1,GCR  ,840,230,225,ML,TNPG,1960-7 ,1965-9 ,1965-10,2006-12
UK,GB -9B  ,DUNGENESS A-2,GCR  ,840,230,225,ML,TNPG,1960-7 ,1965-11,1965-12,2006-12
UK,GB -18A ,DUNGENESS B-1,GCR  ,1500,615,545,EDF UK,APC,1965-10,1983-4 ,1985-4 ,2021-6 
UK,GB -18B ,DUNGENESS B-2,GCR  ,1500,615,545,EDF UK,APC,1965-10,1985-12,1989-4 ,2021-6 
UK,GB -7A  ,HINKLEY POINT A-1,GCR  ,900,267,235,ML,EE/B&W/T,1957-11,1965-2 ,1965-3 ,2000-5 
UK,GB -7B  ,HINKLEY POINT A-2,GCR  ,900,267,235,ML,EE/B&W/T,1957-11,1965-3 ,1965-5 ,2000-5 
UK,GB -6A  ,HUNTERSTON A-1,GCR  ,595,173,150,ML,GEC,1957-10,1964-2 ,1964-2 ,1990-3 
UK,GB -6B  ,HUNTERSTON A-2,GCR  ,595,173,150,ML,GEC,1957-10,1964-6 ,1964-7 ,1989-12
UK,GB -17A ,HUNTERSTON B-1,GCR  ,1496,644,490,EDF UK,TNPG,1967-11,1976-2 ,1976-2 ,2021-11
UK,GB -11A ,OLDBURY A-1,GCR  ,730,230,217,ML,TNPG,1962-5 ,1967-11,1967-12,2012-2 
UK,GB -11B ,OLDBURY A-2,GCR  ,660,230,217,ML,TNPG,1962-5 ,1968-4 ,1968-9 ,2011-6 
UK,GB -10A ,SIZEWELL A-1,GCR  ,1010,245,210,ML,EE/B&W/T,1961-4 ,1966-1 ,1966-3 ,2006-12
UK,GB -10B ,SIZEWELL A-2,GCR  ,1010,245,210,ML,EE/B&W/T,1961-4 ,1966-4 ,1966-9 ,2006-12
UK,GB -8A  ,TRAWSFYNYDD-1,GCR  ,850,235,195,ML,APC,1959-7 ,1965-1 ,1965-3 ,1991-2 
UK,GB -8B  ,TRAWSFYNYDD-2,GCR  ,850,235,195,ML,APC,1959-7 ,1965-2 ,1965-3 ,1991-2 
UK,GB -5   ,WINDSCALE AGR,GCR  ,120,36,24,UKAEA,UKAEA,1958-11,1963-2 ,1963-3 ,1981-4 
UK,GB -12  ,WINFRITH SGHWR,SGHWR,318,100,92,UKAEA,ICL/FE,1963-5 ,1967-12,1968-1 ,1990-9 
UK,GB -13A ,WYLFA-1,GCR  ,1650,530,490,ML,EE/B&W/T,1963-9 ,1971-1 ,1971-11,2015-12
UK,GB -13B ,WYLFA-2,GCR  ,1920,540,490,ML,EE/B&W/T,1963-9 ,1971-7 ,1972-1 ,2012-4 
UKRAINE,UA -25  ,CHERNOBYL-1,LWGR ,3200,800,740,MTE,FAEA,1970-3 ,1977-9 ,1978-5 ,1996-11
UKRAINE,UA -26  ,CHERNOBYL-2,LWGR ,3200,1000,925,MTE,FAEA,1973-2 ,1978-12,1979-5 ,1991-10
UKRAINE,UA -42  ,CHERNOBYL-3,LWGR ,3200,1000,925,MTE,FAEA,1976-3 ,1981-12,1982-6 ,2000-12
UKRAINE,UA -43  ,CHERNOBYL-4,LWGR ,3200,1000,925,MTE,FAEA,1979-4 ,1983-12,1984-3 ,1986-4 
USA,US -155 ,BIG ROCK POINT,BWR  ,240,71,67,CPC,GE,1960-5 ,1962-12,1963-3 ,1997-8 
USA,US -014 ,BONUS,BWR  ,50,18,17,DOE/PRWR,GNEPRWRA,1960-1 ,1964-8 ,1965-9 ,1968-6 
USA,US -302 ,CRYSTAL RIVER-3,PWR  ,2568,890,860,PROGRESS,B&W,1968-9 ,1977-1 ,1977-3 ,2013-2 
USA,US -144 ,CVTR,PHWR ,65,19,17,CVPA,WH,1960-1 ,1963-12,1963-12,1967-1 
USA,US -10  ,DRESDEN-1,BWR  ,700,207,197,EXELON,GE,1956-5 ,1960-4 ,1960-7 ,1978-10
USA,US -331 ,DUANE ARNOLD-1,BWR  ,1912,624,601,NEXTERA,GE,1970-6 ,1974-5 ,1975-2 ,2020-10
USA,US -011 ,ELK RIVER,BWR  ,58,24,22,RCPA,AC,1959-1 ,1963-8 ,1964-7 ,1968-2 
USA,US -16  ,FERMI-1,FBR  ,200,65,61,DTEDISON,UEC,1956-8 ,1966-8 ,1966-8 ,1972-11
USA,US -285 ,FORT CALHOUN-1,PWR  ,1500,512,482,EXELON,CE,1968-6 ,1973-8 ,1973-9 ,2016-10
USA,US -267 ,FORT ST. VRAIN,HTGR ,842,342,330,PSCC,GA,1968-9 ,1976-12,1979-7 ,1989-8 
USA,US -018 ,GE VALLECITOS,BWR  ,50,24,24,GE,GE,1956-1 ,1957-10,1957-10,1963-12
USA,US -213 ,HADDAM NECK,PWR  ,1825,603,560,CYAPC,WH,1964-5 ,1967-8 ,1968-1 ,1996-12
USA,US -077 ,HALLAM,X    ,256,84,75,AEC/NPPD,GE,1959-1 ,1963-9 ,1963-11,1964-9 
USA,US -133 ,HUMBOLDT BAY,BWR  ,220,65,63,PG&E,GE,1960-11,1963-4 ,1963-8 ,1976-7 
USA,US -013 ,INDIAN POINT-1,PWR  ,615,277,257,ENTERGY,B&W,1956-5 ,1962-9 ,1962-10,1974-10
USA,US -247 ,INDIAN POINT-2,PWR  ,3216,1067,998,ENTERGY,WH,1966-10,1973-6 ,1974-8 ,2020-4 
USA,US -286 ,INDIAN POINT-3,PWR  ,3216,1085,1030,ENTERGY,WH,1968-10,1976-4 ,1976-8 ,2021-4 
USA,US -305 ,KEWAUNEE,PWR  ,1772,595,566,DOMINION,WH,1968-8 ,1974-4 ,1974-6 ,2013-5 
USA,US -409 ,LACROSSE,BWR  ,165,55,48,DPC,AC,1963-3 ,1968-4 ,1969-11,1987-4 
