Textbox88,Textbox84,Country,Code1,Station1,Type,Textbox41,ThermalPower,Textbox37,Code,Station,Textbox70,Textbox74,Textbox94,Textbox78,Textbox90,Textbox86,Textbox17
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -22  ,DARLINGTON-1,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1982-4 ,1990-12,1992-11,85.5,86.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -23  ,DARLINGTON-2,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1981-9 ,1990-1 ,1990-10,70.5,71.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -24  ,DARLINGTON-3,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1984-9 ,1992-12,1993-2 ,85.3,86.1,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -25  ,DARLINGTON-4,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1985-7 ,1993-4 ,1993-6 ,85.9,86.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -4   ,PICKERING-1,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1966-6 ,1971-4 ,1971-7 ,67.4,67.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -7   ,PICKERING-4,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1968-5 ,1973-5 ,1973-6 ,67.5,67.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -8   ,BRUCE-1,PHWR ,CANDU 791,2620,830,774,BRUCEPOW,OH/AECL,1971-6 ,1977-1 ,1977-9 ,72.1,72.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CANADA,CA -9   ,BRUCE-2,PHWR ,CANDU 791,2620,830,777,BRUCEPOW,OH/AECL,1970-12,1976-9 ,1977-9 ,68.8,69.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -1   ,QINSHAN-1,PWR  ,CNP-300,966,330,308,CNNO,CNNC,1985-3 ,1991-12,1994-4 ,82,83,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -10  ,TIANWAN-1,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,1999-10,2006-5 ,2007-5 ,86.6,86.8,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -11  ,TIANWAN-2,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,2000-9 ,2007-5 ,2007-8 ,89.2,89.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -12  ,LING AO-3,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2005-12,2010-7 ,2010-9 ,88.1,88.3,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -13  ,LING AO-4,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2006-6 ,2011-5 ,2011-8 ,90.1,90.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -14  ,QINSHAN 2-3,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2006-4 ,2010-8 ,2010-10,90.9,91,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -15  ,QINSHAN 2-4,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2007-1 ,2011-11,2011-12,91.4,91.5,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -16  ,HONGYANHE-1,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2007-8 ,2013-2 ,2013-6 ,87.7,88.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -17  ,HONGYANHE-2,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2008-3 ,2013-11,2014-5 ,85.6,86.6,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -18  ,NINGDE-1,PWR  ,CPR-1000,2905,1089,1018,NDNP,DEC,2008-2 ,2012-12,2013-4 ,87.3,87.4,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -19  ,NINGDE-2,PWR  ,CPR-1000,2905,1089,1018,NDNP,SHE,2008-11,2014-1 ,2014-5 ,91.8,91.8,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -2   ,DAYA BAY-1,PWR  ,M310,2905,984,944,DNMC,FRAM,1987-8 ,1993-8 ,1994-2 ,86.5,88.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -20  ,FUQING-1,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2008-11,2014-8 ,2014-11,89.7,89.9,-
"EAF %
2010 - 2020","UCF %
2010 - 2020",CHINA,CN -21  ,FUQING-2,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2009-6 ,2015-8 ,2015-10,89,89.2,-
