Country,Code,Name,Type,Model,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown,EAF,UCF,NEA,Status
BRAZIL,BR -1   ,ANGRA-1,PWR  ,WH 2LP,1882,640,609,ELETROBR,WH,1971-5 ,1982-4 ,1985-1 ,,63.6,68.4,-,Online
BRAZIL,BR -2   ,ANGRA-2,PWR  ,PRE KONVOI,3764,1350,1275,ELETROBR,KWU,1976-1 ,2000-7 ,2001-2 ,,86.7,87.8,-,Online
BULGARIA,BG -5   ,KOZLODUY-5,PWR  ,VVER V-320,3120,1040,1003,KNPP,AEE,1980-7 ,1987-11,1988-12,,73.3,75.3,DH,Online
BULGARIA,BG -6   ,KOZLODUY-6,PWR  ,VVER V-320,3120,1040,1003,K N N P,AEE,1982-4 ,1991-8 ,1993-12,,79,80.8,DH,Online
CANADA,CA -10  ,BRUCE-3,PHWR ,CANDU 750A,2550,865,770,BRUCEPOW,OH/AECL,1972-7 ,1977-12,1978-2 ,,74,74.5,-,Online
CANADA,CA -11  ,BRUCE-4,PHWR ,CANDU 750A,2550,868,769,BRUCEPOW,OH/AECL,1972-9 ,1978-12,1979-1 ,,74.7,75.3,-,Online
CANADA,CA -13  ,PICKERING-5,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1974-11,1982-12,1983-5 ,,74.6,75.3,-,Online
CANADA,CA -14  ,PICKERING-6,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1975-10,1983-11,1984-2 ,,78.6,79.3,-,Online
CANADA,CA -15  ,PICKERING-7,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1976-3 ,1984-11,1985-1 ,,77.9,78.5,-,Online
CANADA,CA -16  ,PICKERING-8,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1976-9 ,1986-1 ,1986-2 ,,75.5,76.2,-,Online
CANADA,CA -17  ,POINT LEPREAU,PHWR ,CANDU 6,2180,705,660,NBEPC,AECL,1975-5 ,1982-9 ,1983-2 ,,72.4,73.1,-,Online
CANADA,CA -18  ,BRUCE-5,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,1978-5 ,1984-12,1985-2 ,,85.7,86.2,-,Online
CANADA,CA -19  ,BRUCE-6,PHWR ,CANDU 750B,2690,891,817,BRUCEPOW,OH/AECL,1978-1 ,1984-6 ,1984-9 ,,79,79.6,-,Online
CANADA,CA -20  ,BRUCE-7,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,1979-5 ,1986-2 ,1986-4 ,,85.7,86.4,-,Online
CANADA,CA -21  ,BRUCE-8,PHWR ,CANDU 750B,2690,872,817,BRUCEPOW,OH/AECL,1979-7 ,1987-3 ,1987-5 ,,84,84.9,-,Online
CANADA,CA -22  ,DARLINGTON-1,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1982-4 ,1990-12,1992-11,,85.1,86.1,-,Online
CANADA,CA -23  ,DARLINGTON-2,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1981-9 ,1990-1 ,1990-10,,71.2,72.1,-,Online
CANADA,CA -24  ,DARLINGTON-3,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1984-9 ,1992-12,1993-2 ,,82.4,83.1,-,Online
CANADA,CA -25  ,DARLINGTON-4,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1985-7 ,1993-4 ,1993-6 ,,85.5,86.3,-,Online
CANADA,CA -4   ,PICKERING-1,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1966-6 ,1971-4 ,1971-7 ,,68,68.2,-,Online
CANADA,CA -7   ,PICKERING-4,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1968-5 ,1973-5 ,1973-6 ,,68.2,68.6,-,Online
CANADA,CA -8   ,BRUCE-1,PHWR ,CANDU 791,2620,868,774,BRUCEPOW,OH/AECL,1971-6 ,1977-1 ,1977-9 ,,72.4,72.8,-,Online
CANADA,CA -9   ,BRUCE-2,PHWR ,CANDU 791,2620,836,777,BRUCEPOW,OH/AECL,1970-12,1976-9 ,1977-9 ,,69.9,70.4,-,Online
CHINA,CN -1   ,QINSHAN-1,PWR  ,CNP-300,966,330,308,CNNO,CNNC,1985-3 ,1991-12,1994-4 ,,82.3,83.3,-,Online
CHINA,CN -10  ,TIANWAN-1,PWR  ,VVER V-428,3000,1060,1000,JNPC,IZ,1999-10,2006-5 ,2007-5 ,,86.8,87,-,Online
CHINA,CN -11  ,TIANWAN-2,PWR  ,VVER V-428,3000,1060,1000,JNPC,IZ,2000-9 ,2007-5 ,2007-8 ,,89.4,89.6,-,Online
CHINA,CN -12  ,LING AO-3,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2005-12,2010-7 ,2010-9 ,,87.6,88,-,Online
CHINA,CN -13  ,LING AO-4,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2006-6 ,2011-5 ,2011-8 ,,89.4,90,-,Online
CHINA,CN -14  ,QINSHAN 2-3,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2006-4 ,2010-8 ,2010-10,,90.6,90.7,-,Online
CHINA,CN -15  ,QINSHAN 2-4,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2007-1 ,2011-11,2011-12,,91.1,91.2,-,Online
CHINA,CN -16  ,HONGYANHE-1,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2007-8 ,2013-2 ,2013-6 ,,88.9,89.9,-,Online
CHINA,CN -17  ,HONGYANHE-2,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2008-3 ,2013-11,2014-5 ,,86.1,87.2,-,Online
CHINA,CN -18  ,NINGDE-1,PWR  ,CPR-1000,2905,1089,1018,NDNP,DEC,2008-2 ,2012-12,2013-4 ,,87.9,87.9,-,Online
CHINA,CN -19  ,NINGDE-2,PWR  ,CPR-1000,2905,1089,1018,NDNP,SHE,2008-11,2014-1 ,2014-5 ,,91.6,91.6,-,Online
CHINA,CN -2   ,DAYA BAY-1,PWR  ,M310,2905,984,944,DNMC,FRAM,1987-8 ,1993-8 ,1994-2 ,,86.5,88.9,-,Online
CHINA,CN -20  ,FUQING-1,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2008-11,2014-8 ,2014-11,,90,90.3,-,Online
CHINA,CN -21  ,FUQING-2,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,2009-6 ,2015-8 ,2015-10,,88.8,89.1,-,Online
CHINA,CN -22  ,YANGJIANG-1,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2008-12,2013-12,2014-3 ,,90.4,90.4,-,Online
CHINA,CN -23  ,YANGJIANG-2,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,2009-6 ,2015-3 ,2015-6 ,,91.5,91.5,-,Online
CHINA,CN -24  ,FANGJIASHAN-1,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,2008-12,2014-11,2014-12,,91.9,92.3,-,Online
CHINA,CN -25  ,FANGJIASHAN-2,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,2009-7 ,2015-1 ,2015-2 ,,91.3,91.8,-,Online
CHINA,CN -26  ,HONGYANHE-3,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2009-3 ,2015-3 ,2015-8 ,,89.3,90.7,-,Online
CHINA,CN -27  ,HONGYANHE-4,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2009-8 ,2016-4 ,2016-6 ,,89.6,90.8,-,Online
CHINA,CN -28  ,SANMEN-1,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,2009-4 ,2018-6 ,2018-9 ,,91.2,92.1,-,Online
CHINA,CN -29  ,SANMEN-2,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,2009-12,2018-8 ,2018-11,,66.5,67.8,-,Online
