Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Construction_time
CANADA,CA -8   ,BRUCE-1,PHWR ,CANDU 791,2620,830,774,BRUCEPOW,OH/AECL,72.1,72.6,1971-06-01,1977-01-01,1977-09-01 00:00:00,2041
CANADA,CA -9   ,BRUCE-2,PHWR ,CANDU 791,2620,830,777,BRUCEPOW,OH/AECL,68.8,69.3,1970-12-01,1976-09-01,1977-09-01 00:00:00,2101
CHINA,CN -1   ,QINSHAN-1,PWR  ,CNP-300,966,330,308,CNNO,CNNC,82.0,83.0,1985-03-01,1991-12-01,1994-04-01 00:00:00,2466
CHINA,CN -10  ,TIANWAN-1,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,86.6,86.8,1999-10-01,2006-05-01,2007-05-01 00:00:00,2404
CHINA,CN -11  ,TIANWAN-2,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,89.2,89.3,2000-09-01,2007-05-01,2007-08-01 00:00:00,2433
CHINA,CN -12  ,LING AO-3,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,88.1,88.3,2005-12-01,2010-07-01,2010-09-01 00:00:00,1673
CHINA,CN -13  ,LING AO-4,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,90.1,90.4,2006-06-01,2011-05-01,2011-08-01 00:00:00,1795
CHINA,CN -14  ,QINSHAN 2-3,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,90.9,91.0,2006-04-01,2010-08-01,2010-10-01 00:00:00,1583
CHINA,CN -15  ,QINSHAN 2-4,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,91.4,91.5,2007-01-01,2011-11-01,2011-12-01 00:00:00,1765
CHINA,CN -16  ,HONGYANHE-1,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,87.7,88.6,2007-08-01,2013-02-01,2013-06-01 00:00:00,2011
CHINA,CN -17  ,HONGYANHE-2,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,85.6,86.6,2008-03-01,2013-11-01,2014-05-01 00:00:00,2071
CHINA,CN -18  ,NINGDE-1,PWR  ,CPR-1000,2905,1089,1018,NDNP,DEC,87.3,87.4,2008-02-01,2012-12-01,2013-04-01 00:00:00,1765
CHINA,CN -19  ,NINGDE-2,PWR  ,CPR-1000,2905,1089,1018,NDNP,SHE,91.8,91.8,2008-11-01,2014-01-01,2014-05-01 00:00:00,1887
CHINA,CN -2   ,DAYA BAY-1,PWR  ,M310,2905,984,944,DNMC,FRAM,86.5,88.9,1987-08-01,1993-08-01,1994-02-01 00:00:00,2192
CHINA,CN -20  ,FUQING-1,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.7,89.9,2008-11-01,2014-08-01,2014-11-01 00:00:00,2099
CHINA,CN -21  ,FUQING-2,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.0,89.2,2009-06-01,2015-08-01,2015-10-01 00:00:00,2252
CHINA,CN -22  ,YANGJIANG-1,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,90.6,90.7,2008-12-01,2013-12-01,2014-03-01 00:00:00,1826
CHINA,CN -23  ,YANGJIANG-2,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,89.9,90.0,2009-06-01,2015-03-01,2015-06-01 00:00:00,2099
CHINA,CN -24  ,FANGJIASHAN-1,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,90.6,91.1,2008-12-01,2014-11-01,2014-12-01 00:00:00,2161
CHINA,CN -25  ,FANGJIASHAN-2,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,92.3,92.6,2009-07-01,2015-01-01,2015-02-01 00:00:00,2010
CHINA,CN -26  ,HONGYANHE-3,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,89.9,91.2,2009-03-01,2015-03-01,2015-08-01 00:00:00,2191
CHINA,CN -27  ,HONGYANHE-4,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,89.2,90.4,2009-08-01,2016-04-01,2016-06-01 00:00:00,2435
