Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Shutdown,Construction_time,Online
CZECH REP.,CZ -5   ,DUKOVANY-2,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,81.6,82.5,1979-01-01,1986-01-01,1986-03-01 00:00:00,,2557,True
CZECH REP.,CZ -8   ,DUKOVANY-3,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,81.2,82.7,1979-03-01,1986-11-01,1986-12-01 00:00:00,,2802,True
CZECH REP.,CZ -9   ,DUKOVANY-4,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,83.5,84.4,1979-03-01,1987-06-01,1987-07-01 00:00:00,,3014,True
FINLAND,FI -1   ,LOVIISA-1,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,87.9,88.5,1971-05-01,1977-02-01,1977-05-01 00:00:00,,2103,True
FINLAND,FI -2   ,LOVIISA-2,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,89.4,90.2,1972-08-01,1980-11-01,1981-01-01 00:00:00,,3014,True
FINLAND,FI -3   ,OLKILUOTO-1,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,92.7,93.2,1974-02-01,1978-09-01,1979-10-01 00:00:00,,1673,True
FINLAND,FI -4   ,OLKILUOTO-2,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,93.1,93.7,1975-11-01,1980-02-01,1982-07-01 00:00:00,,1553,True
FRANCE,FR -13  ,BUGEY-2,PWR  ,CP0,2785,945,910,EDF,FRAM,71.9,74.2,1972-11-01,1978-05-01,1979-03-01 00:00:00,,2007,True
FRANCE,FR -14  ,BUGEY-3,PWR  ,CP0,2785,945,910,EDF,FRAM,70.7,73.2,1973-09-01,1978-09-01,1979-03-01 00:00:00,,1826,True
FRANCE,FR -15  ,BUGEY-4,PWR  ,CP0,2785,917,880,EDF,FRAM,74.9,76.9,1974-06-01,1979-03-01,1979-07-01 00:00:00,,1734,True
FRANCE,FR -16  ,BUGEY-5,PWR  ,CP0,2785,917,880,EDF,FRAM,72.9,75.2,1974-07-01,1979-07-01,1980-01-01 00:00:00,,1826,True
FRANCE,FR -17  ,ST. LAURENT B-1,PWR  ,CP2,2785,956,915,EDF,FRAM,75.9,78.1,1976-05-01,1981-01-01,1983-08-01 00:00:00,,1706,True
FRANCE,FR -18  ,TRICASTIN-1,PWR  ,CP1,2785,955,915,EDF,FRAM,75.1,77.9,1974-11-01,1980-05-01,1980-12-01 00:00:00,,2008,True
FRANCE,FR -19  ,TRICASTIN-2,PWR  ,CP1,2785,955,915,EDF,FRAM,75.6,79.1,1974-12-01,1980-08-01,1980-12-01 00:00:00,,2070,True
FRANCE,FR -20  ,GRAVELINES-1,PWR  ,CP1,2785,951,910,EDF,FRAM,74.5,76.4,1975-02-01,1980-03-01,1980-11-01 00:00:00,,1855,True
